# NEXRAD WSR-88D site table (ICAO, name, state, lat, lon).
# Source: NOAA/NCEI HOMR station list, STNTYPE=NEXRAD only.
#   https://www.ncei.noaa.gov/access/homr/file/nexrad-stations.txt
# Retrieved 2026-06-20. Static data — never fetched at runtime (ADR-0005).
# Excludes non-operational research/test radars KCRI (ROC) and KOUN (NSSL).
icao,name,state,lat,lon
KABR,Aberdeen,SD,45.455833,-98.413333
KABX,Albuquerque,NM,35.149722,-106.82388
KAKQ,Norfolk Rich,VA,36.98405,-77.007361
KAMA,Amarillo,TX,35.233333,-101.70927
KAMX,Miami,FL,25.611083,-80.412667
KAPX,Gaylord,MI,44.90635,-84.719533
KARX,La Crosse,WI,43.822778,-91.191111
KATX,Seattle,WA,48.194611,-122.49569
KBBX,Beale Afb,CA,39.495639,-121.63161
KBGM,Binghamton,NY,42.199694,-75.984722
KBHX,Eureka,CA,40.498583,-124.29216
KBIS,Bismarck,ND,46.770833,-100.76055
KBLX,Billings,MT,45.853778,-108.60680
KBMX,Birmingham,AL,33.172417,-86.770167
KBOX,Boston,MA,41.955778,-71.136861
KBRO,Brownsville,TX,25.916,-97.418967
KBUF,Buffalo,NY,42.948789,-78.736781
KBYX,Key West,FL,24.5975,-81.703167
KCAE,Columbia,SC,33.948722,-81.118278
KCBW,Houlton,ME,46.03925,-67.806431
KCBX,Boise,ID,43.490217,-116.23603
KCCX,State College,PA,40.923167,-78.003722
KCLE,Cleveland,OH,41.413217,-81.859867
KCLX,Charleston,SC,32.655528,-81.042194
KCRP,Corpus Christi,TX,27.784017,-97.51125
KCXX,Burlington,VT,44.511,-73.166431
KCYS,Cheyenne,WY,41.151919,-104.80603
KDAX,Sacramento,CA,38.501111,-121.67783
KDDC,Dodge City,KS,37.760833,-99.968889
KDFX,Laughlin Afb,TX,29.273139,-100.28033
KDGX,Jackson Brandon,MS,32.279944,-89.984444
KDIX,Philadelphia,NJ,39.947089,-74.410731
KDLH,Duluth,MN,46.836944,-92.209722
KDMX,Des Moines,IA,41.7312,-93.722869
KDOX,Dover Afb,DE,38.825767,-75.440117
KDTX,Detroit,MI,42.7,-83.471667
KDVN,Davenport,IA,41.611667,-90.580833
KDYX,Dyess Afb,TX,32.5385,-99.254333
KEAX,Kansas City,MO,38.81025,-94.264472
KEMX,Tucson,AZ,31.89365,-110.63025
KENX,Albany,NY,42.586556,-74.064083
KEOX,Fort Rucker,AL,31.460556,-85.459389
KEPZ,El Paso,NM,31.873056,-106.698
KESX,Las Vegas,NV,35.70135,-114.89165
KEVX,Eglin Afb,FL,30.565033,-85.921667
KEWX,Austin San Antonio,TX,29.704056,-98.028611
KEYX,Edwards,CA,35.09785,-117.56075
KFCX,Roanoke,VA,37.0244,-80.273969
KFDR,Altus Afb,OK,34.362194,-98.976667
KFDX,Cannon Afb,NM,34.634167,-103.61888
KFFC,Atlanta,GA,33.36355,-84.56595
KFSD,Sioux Falls,SD,43.587778,-96.729444
KFSX,Flagstaff,AZ,34.574333,-111.19844
KFTG,Denver Front Range Ap,CO,39.786639,-104.54580
KFWS,Dallas,TX,32.573,-97.30315
KGGW,Glasgow,MT,48.206361,-106.62469
KGJX,Grand Junction,CO,39.062169,-108.21376
KGLD,Goodland,KS,39.366944,-101.70027
KGRB,Green Bay,WI,44.498633,-88.111111
KGRK,Fort Hood,TX,30.721833,-97.382944
KGRR,Grand Rapids,MI,42.893889,-85.544889
KGSP,Greer,SC,34.883306,-82.219833
KGWX,Columbus Afb,MS,33.896917,-88.329194
KGYX,Portland,ME,43.891306,-70.256361
KHDC,Hammond Municipal Airport,LA,30.5193,-90.4074
KHDX,Holloman Afb,NM,33.077,-106.12003
KHGX,Houston,TX,29.4719,-95.078733
KHNX,San Joaquin Valley,CA,36.314181,-119.63213
KHPX,Fort Campbell,KY,36.736972,-87.285583
KHTX,Huntsville,AL,34.930556,-86.083611
KICT,Wichita,KS,37.654444,-97.443056
KICX,Cedar City,UT,37.59105,-112.86218
KILN,Cincinnati,OH,39.420483,-83.82145
KILX,Lincoln,IL,40.1505,-89.336792
KIND,Indianapolis,IN,39.7075,-86.280278
KINX,Tulsa,OK,36.175131,-95.564161
KIWA,Phoenix,AZ,33.289233,-111.66991
KIWX,Fort Wayne,IN,41.358611,-85.7
KJAX,Jacksonville,FL,30.484633,-81.7019
KJGX,Robins Afb,GA,32.675683,-83.350833
KJKL,Jackson,KY,37.590833,-83.313056
KLBB,Lubbock,TX,33.654139,-101.81416
